"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","oli","eag","lag","rid","gnl","gnn","odl","odn","cll","cln","phl","phn","idt","ids","rss","eag.1","lag.1","cxi","ein","lin","fml","fmn","rst","eid","idf"
"1:1","130176","occ","10750","Taeniopteris T. newberriana cf.","3","56180","Taeniopteris","5","56180","Carboniferous","Permian","358.9","252.17","3995;3995","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","T. newberriana","cf.",358.9,252.17,"3","18","17",NA,NA,NA,NA,NA
"1:2","130177","occ","10750","Taeniopteris sp. 1","5","56180","Taeniopteris","5","56180","Carboniferous","Permian","358.9","252.17","3995;3995","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp. 1",NA,358.9,252.17,"3","18","17",NA,NA,NA,NA,NA
"1:3","132382","occ","11000","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Sakmarian","Kungurian","295.5","272.3","4064;4064","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,295.5,272.3,"773","150","148",NA,NA,NA,NA,NA
"1:4","133218","occ","11143","Cycadales indet.","13","55349","Cycadales","13","55349","Zechstein",NA,"259","252.3","4096;4096",NA,NA,"Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycadales","indet.",NA,259,252.3,"771","716","715",NA,NA,NA,NA,NA
"1:5","133225","occ","11144","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Artinskian","Ufimian","290.1","272.5","4097;4097","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,290.1,272.5,"773","149","148",NA,NA,NA,NA,NA
"1:6","133230","occ","11145","Phasmatocycas sp.","5","417982","Phasmatocycas","5","417982","Sakmarian","Kungurian","295.5","272.3","4100;4100","Phasmatocycas","417982","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Phasmatocycas","sp.",NA,295.5,272.3,"773","150","148",NA,NA,NA,NA,NA
"1:7","133231","occ","11145","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Sakmarian","Kungurian","295.5","272.3","4100;4100","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,295.5,272.3,"773","150","148",NA,NA,NA,NA,NA
"1:8","133235","occ","11146","Cycadospadix sp.","5","405634","Cycadospadix","5","405634","Sakmarian","Kungurian","295.5","272.3","4100;4100","Cycadospadix","405634","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycadospadix","sp.",NA,295.5,272.3,"773","150","148","Cycadaceae","54571",NA,NA,NA
"1:9","133237","occ","11146","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Sakmarian","Kungurian","295.5","272.3","4100;4100","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,295.5,272.3,"773","150","148",NA,NA,NA,NA,NA
"1:10","133248","occ","11147","Taeniopteris multinervis","3","56180","Taeniopteris","5","56180","Asselian","Kungurian","298.9","272.3","4102;4102","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","multinervis",NA,298.9,272.3,"773","773","773",NA,NA,NA,NA,NA
"1:11","133249","occ","11147","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Asselian","Kungurian","298.9","272.3","4102;4102","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,298.9,272.3,"773","773","773",NA,NA,NA,NA,NA
"1:12","133262","occ","11149","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Artinskian",NA,"290.1","279.3","4105;4105","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,290.1,279.3,"149","149","149",NA,NA,NA,NA,NA
"1:13","133269","occ","11150","Taeniopteris eckhardti cf.","3","56180","Taeniopteris","5","56180","Artinskian","Kungurian","290.1","272.3","4048;4048","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","eckhardti","cf.",290.1,272.3,"773","149","148",NA,NA,NA,NA,NA
"1:14","133285","occ","11151","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Sakmarian","Kungurian","295.5","272.3","4107;4107","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,295.5,272.3,"773","150","148",NA,NA,NA,NA,NA
"1:15","133301","occ","11152","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Sakmarian","Kungurian","295.5","272.3","4107;4107","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,295.5,272.3,"773","150","148",NA,NA,NA,NA,NA
"1:16","133310","occ","11153","Pseudoctenis bezuidenhoutensis","3","279032","Pseudoctenis","5","279032","Berriasian","Late Valanginian","145","136.4","6188;6188","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","bezuidenhoutensis",NA,145,136.4,"40","123","122","Nilssoniaceae","168703",NA,NA,NA
"1:17","133311","occ","11153","Pseudoctenis tatei","3","279032","Pseudoctenis","5","279032","Berriasian","Late Valanginian","145","136.4","6188;6188","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","tatei",NA,145,136.4,"40","123","122","Nilssoniaceae","168703",NA,NA,NA
"1:18","133346","occ","11160","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Sakmarian","Kungurian","295.5","272.3","4111;4111","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,295.5,272.3,"773","150","148",NA,NA,NA,NA,NA
"1:19","133382","occ","11166","Phasmatocycas sp.","5","417982","Phasmatocycas","5","417982","Rotliegendes",NA,"298.9","254","4109;4109","Phasmatocycas","417982","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Phasmatocycas","sp.",NA,298.9,254,"17","773","17",NA,NA,NA,NA,NA
"1:20","133416","occ","11171","Taeniopteris fallax cf.","3","56180","Taeniopteris","5","56180","Autunian","Sakmarian","298.9","290.1","4116;4116","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","fallax","cf.",298.9,290.1,"773","151","150",NA,NA,NA,NA,NA
"1:21","136109","occ","11373","Zamia colorodensis","3","407730","Zamia","5","407730","Clarkforkian",NA,"56.8","55.8","4163;4163","Zamia","407730","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Zamia","colorodensis",NA,56.8,55.8,"26","110","109","Zamiaceae","54802",NA,NA,NA
"1:22","137527","occ","11611","Behuninia provoensis","3","416963","Behuninia","5","416963","Kimmeridgian","Tithonian","157.3","145","4178;4178","Behuninia","416963","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Behuninia","provoensis",NA,157.3,145,"41","125","124",NA,NA,NA,NA,NA
"1:23","138810","occ","11798","Cycas sp.","5","344467","Cycas","5","344467","Tortonian",NA,"11.62","7.246","4196;4196","Cycas","344467","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycas","sp.",NA,11.62,7.246,"99","99","99","Cycadaceae","54571",NA,NA,NA
"1:24","139842","occ","11999","Taeniopteris eckhardti cf.","3","56180","Taeniopteris","5","56180","Carboniferous","Permian","358.9","252.17","4048;4048","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","eckhardti","cf.",358.9,252.17,"3","18","17",NA,NA,NA,NA,NA
"1:25","139843","occ","11999","Taeniopteris angelica n. sp.","3","56180","Taeniopteris","5","56180","Carboniferous","Permian","358.9","252.17","4048;4048","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","angelica","n. sp.",358.9,252.17,"3","18","17",NA,NA,NA,NA,NA
"1:26","144310","occ","12585","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Puaroan",NA,"148.5","145","4249;4249","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,148.5,145,"124","124","124",NA,NA,NA,NA,NA
"1:27","149423","occ","13191","Taeniopteris lescuriana","3","56180","Taeniopteris","5","56180","Carboniferous","Permian","358.9","252.17","4296;4296","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","lescuriana",NA,358.9,252.17,"3","18","17",NA,NA,NA,NA,NA
"1:28","149424","occ","13191","Taeniopteris newberriana","3","56180","Taeniopteris","5","56180","Carboniferous","Permian","358.9","252.17","4296;4296","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","newberriana",NA,358.9,252.17,"3","18","17",NA,NA,NA,NA,NA
"1:29","150148","occ","13302","Taeniopteris eckardtii","3","56180","Taeniopteris","5","56180","Permian",NA,"298.9","252.17","4420;4420","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","eckardtii",NA,298.9,252.17,"17","17","17",NA,NA,NA,NA,NA
"1:30","161807","occ","14271","Taeniopteris gemmina","3","56180","Taeniopteris","5","56180","Kungurian",NA,"279.3","272.3","6188;6188","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","gemmina",NA,279.3,272.3,"148","148","148",NA,NA,NA,NA,NA
"1:31","162294","occ","14341","Taeniopteris estcourtiana","3","56180","Taeniopteris","5","56180","Wuchiapingian","Griesbachian","259.9","251.3","6188;6188","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","estcourtiana",NA,259.9,251.3,"751","771","653",NA,NA,NA,NA,NA
"1:32","162396","occ","14363","Pseudoctenis brownii","3","279032","Pseudoctenis","5","279032","Spathian","Anisian","251.3","242","6188;6188","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","brownii",NA,251.3,242,"16","46","139","Nilssoniaceae","168703",NA,NA,NA
"1:33","200046","occ","20655","Pseudoctenis brownii","3","279032","Pseudoctenis","5","279032","Spathian","Anisian","251.3","242","6188;6188","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","brownii",NA,251.3,242,"16","46","139","Nilssoniaceae","168703",NA,NA,NA
"1:34","200047","occ","20655","Nilssonia reservoirensis","3","157259","Nilsonia","5","169172","Spathian","Anisian","251.3","242","6188;6188","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","reservoirensis",NA,251.3,242,"16","46","139",NA,NA,NA,NA,NA
"1:35","200079","occ","20660","Pseudoctenis brownii","3","279032","Pseudoctenis","5","279032","Spathian","Anisian","251.3","242","6188;6188","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","brownii",NA,251.3,242,"16","46","139","Nilssoniaceae","168703",NA,NA,NA
"1:36","200184","occ","20688","Nilssonia reservoirensis","3","157259","Nilsonia","5","169172","Spathian","Anisian","251.3","242","6188;6188","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","reservoirensis",NA,251.3,242,"16","46","139",NA,NA,NA,NA,NA
"1:37","200200","occ","20689","Pseudoctenis brownii","3","279032","Pseudoctenis","5","279032","Spathian","Anisian","251.3","242","6188;6188","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","brownii",NA,251.3,242,"16","46","139","Nilssoniaceae","168703",NA,NA,NA
"1:38","200210","occ","20696","Nilssonia reservoirensis","3","157259","Nilsonia","5","169172","Spathian","Anisian","251.3","242","6188;6188","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","reservoirensis",NA,251.3,242,"16","46","139",NA,NA,NA,NA,NA
"1:39","200243","occ","20709","Taeniopteris mkuziensis","3","56180","Taeniopteris","5","56180","Aptian","Albian","125","100.5","6188;6188","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","mkuziensis",NA,125,100.5,"40","119","118",NA,NA,NA,NA,NA
"1:40","200250","occ","20711","Taeniopteris mkuziensis","3","56180","Taeniopteris","5","56180","Aptian","Albian","125","100.5","6188;6188","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","mkuziensis",NA,125,100.5,"40","119","118",NA,NA,NA,NA,NA
"1:41","200586","occ","20897","Dichotozamites cycadopsis","3","56311","Dichotozamites cycadopsis","3","56311","Early Albian",NA,"112.03","109","6444;6444","Dichotozamites","56312","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Dichotozamites","cycadopsis",NA,112.03,109,"118","118","118","Cycadaceae","54571",NA,NA,NA
"1:42","200877","occ","21046","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Longtanian","Changhsingian","259","252.17","6458;6458","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,259,252.17,"771","771","715","Nilssoniaceae","168703",NA,NA,NA
"1:43","200926","occ","21106","Nilssonia syllis","3","157259","Nilsonia","5","169172","Bajocian",NA,"170.3","168.3","6469;6469","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","syllis",NA,170.3,168.3,"129","129","129",NA,NA,NA,NA,NA
"1:44","200943","occ","21113","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Late Cenomanian","Early Turonian","99.6","89.3","6474;6474","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,99.6,89.3,"39","117","115",NA,NA,NA,NA,NA
"1:45","201397","occ","21196","Taeniopteris spatulata cf.","3","419076","Taeniopteris spatulata","3","419076","Middle Jurassic",NA,"174.1","163.5","6493;6493","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","spatulata","cf.",174.1,163.5,"42","42","42",NA,NA,NA,NA,NA
"1:46","206439","occ","23002","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Carnian",NA,"237","228","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,228,"137","137","137","Nilssoniaceae","168703",NA,NA,NA
"1:47","206449","occ","23002","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Carnian",NA,"237","228","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:48","206452","occ","23002","Anthrophyopsis sp.","5","404653","Anthrophyopsis","5","404653","Carnian",NA,"237","228","6625;6625","Anthrophyopsis","404653","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Anthrophyopsis","sp.",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:49","206460","occ","23004","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Carnian",NA,"237","228","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,228,"137","137","137","Nilssoniaceae","168703",NA,NA,NA
"1:50","206476","occ","23004","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Carnian",NA,"237","228","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:51","206573","occ","23003","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Late Triassic",NA,"237","201.3","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,201.3,"44","44","44","Nilssoniaceae","168703",NA,NA,NA
"1:52","206596","occ","23003","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Late Triassic",NA,"237","201.3","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:53","206673","occ","23015","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Late Triassic",NA,"237","201.3","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,201.3,"44","44","44","Nilssoniaceae","168703",NA,NA,NA
"1:54","207225","occ","23015","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Late Triassic",NA,"237","201.3","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:55","207256","occ","23069","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Late Triassic",NA,"237","201.3","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,201.3,"44","44","44","Nilssoniaceae","168703",NA,NA,NA
"1:56","207271","occ","23070","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Late Triassic",NA,"237","201.3","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,201.3,"44","44","44","Nilssoniaceae","168703",NA,NA,NA
"1:57","207277","occ","23070","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Late Triassic",NA,"237","201.3","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:58","207313","occ","23075","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Carnian",NA,"237","228","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:59","207446","occ","23076","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Late Triassic",NA,"237","201.3","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,201.3,"44","44","44","Nilssoniaceae","168703",NA,NA,NA
"1:60","207453","occ","23076","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Late Triassic",NA,"237","201.3","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:61","207475","occ","23084","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Carnian",NA,"237","228","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,228,"137","137","137","Nilssoniaceae","168703",NA,NA,NA
"1:62","207491","occ","23084","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Carnian",NA,"237","228","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:63","207608","occ","23086","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Carnian",NA,"237","228","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,228,"137","137","137","Nilssoniaceae","168703",NA,NA,NA
"1:64","207614","occ","23086","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Carnian",NA,"237","228","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:65","207651","occ","23093","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Late Triassic",NA,"237","201.3","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:66","207655","occ","23093","Androstrobus sp.","5","157258","Androstrobus","5","157258","Late Triassic",NA,"237","201.3","6625;6625","Androstrobus","157258","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Androstrobus","sp.",NA,237,201.3,"44","44","44","Beaniaceae","157240",NA,NA,NA
"1:67","207662","occ","23095","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Carnian",NA,"237","228","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:68","208086","occ","23128","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Late Triassic",NA,"237","201.3","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:69","208099","occ","23130","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Late Triassic",NA,"237","201.3","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:70","208111","occ","23131","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Carnian",NA,"237","228","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:71","208120","occ","23132","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Late Triassic",NA,"237","201.3","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,201.3,"44","44","44","Nilssoniaceae","168703",NA,NA,NA
"1:72","208125","occ","23132","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Late Triassic",NA,"237","201.3","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:73","208139","occ","23133","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Carnian",NA,"237","228","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,228,"137","137","137","Nilssoniaceae","168703",NA,NA,NA
"1:74","208144","occ","23133","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Carnian",NA,"237","228","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:75","208149","occ","23133","Androstrobus sp.","5","157258","Androstrobus","5","157258","Carnian",NA,"237","228","6625;6625","Androstrobus","157258","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Androstrobus","sp.",NA,237,228,"137","137","137","Beaniaceae","157240",NA,NA,NA
"1:76","208168","occ","23134","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Carnian",NA,"237","228","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,228,"137","137","137","Nilssoniaceae","168703",NA,NA,NA
"1:77","208173","occ","23134","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Carnian",NA,"237","228","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:78","208206","occ","23140","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Late Triassic",NA,"237","201.3","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,201.3,"44","44","44","Nilssoniaceae","168703",NA,NA,NA
"1:79","208208","occ","23140","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Late Triassic",NA,"237","201.3","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:80","208219","occ","23142","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Carnian",NA,"237","228","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,228,"137","137","137","Nilssoniaceae","168703",NA,NA,NA
"1:81","208227","occ","23142","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Carnian",NA,"237","228","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:82","208259","occ","23143","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Carnian",NA,"237","228","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,228,"137","137","137","Nilssoniaceae","168703",NA,NA,NA
"1:83","208277","occ","23143","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Carnian",NA,"237","228","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:84","208451","occ","23150","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Permian",NA,"298.9","252.17","6553;6553","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,298.9,252.17,"17","17","17",NA,NA,NA,NA,NA
"1:85","208572","occ","23167","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Late Triassic",NA,"237","201.3","6625;6625","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,201.3,"44","44","44","Nilssoniaceae","168703",NA,NA,NA
"1:86","208578","occ","23167","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Late Triassic",NA,"237","201.3","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:87","208597","occ","23165","Taeniopteris newberriana","3","56180","Taeniopteris","5","56180","Asselian","Sakmarian","298.9","290.1","6659;6659","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","newberriana",NA,298.9,290.1,"773","151","150",NA,NA,NA,NA,NA
"1:88","208598","occ","23165","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Asselian","Sakmarian","298.9","290.1","6659;6659","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,298.9,290.1,"773","151","150",NA,NA,NA,NA,NA
"1:89","208632","occ","23170","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Carnian",NA,"237","228","6625;6625","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
