"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","oli","eag","lag","rid","gnl","gnn","odl","odn","cll","cln","phl","phn","idt","ids","rss","eag.1","lag.1","cxi","ein","lin","fml","fmn","rst","eid","idf"
"1:2515","1334638","occ","179906","Cycas fujiiana n. sp.","3","344468","Cycas fujiiana","3","344468","Bartonian",NA,"41.3","38","59679;59679","Cycas","344467","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycas","fujiiana","n. sp.",41.3,38,"107","107","107","Cycadaceae","54571",NA,NA,NA
"1:2516","1347392","occ","68021","Ceratozamia floersheimensis","3","167573","Ceratozamia floersheimensis","3","167573","Rupelian",NA,"33.9","28.1","60711;60711","Ceratozamia","167572","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Ceratozamia","floersheimensis",NA,33.9,28.1,"105","105","105","Zamiaceae","54802",NA,NA,NA
"1:2517","1422418","occ","197495","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Wuchiapingian",NA,"259.9","254.17","67353;67353","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,259.9,254.17,"716","716","716",NA,NA,NA,NA,NA
"1:2518","1439078","occ","142640","Ctenophyllum braunianum","3","407037","Ctenophyllum braunianum","3","407037","Carnian",NA,"237","228","68711;68711","Ctenophyllum","385191","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Ctenophyllum","braunianum",NA,237,228,"137","137","137","Cycadaceae","54571",NA,NA,NA
"1:2519","1439090","occ","200775","Taeniopteris auriculata","3","385197","Taeniopteris auriculata","3","385197","Carnian",NA,"237","228","68711;68711","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","auriculata",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:2520","1441977","occ","201290","Pseudoctenis cf. fissa","3","386476","Pseudoctenis fissa","3","386476","Carnian",NA,"237","228","68925;68925","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","fissa",NA,237,228,"137","137","137","Nilssoniaceae","168703","cf.",NA,NA
"1:2521","1451131","occ","202497","Pterozamites decussatus n. sp.","3","448155","Ctenophyllum braunianum","3","407037","Late Triassic",NA,"237","201.3","69390;69390","Ctenophyllum","385191","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pterozamites","decussatus","n. sp.",237,201.3,"44","44","44","Cycadaceae","54571",NA,NA,NA
"1:2522","1459665","occ","150879","Androstrobus munku","3","393399","Androstrobus munku","3","393399","Aptian",NA,"125","113","69825;69825","Androstrobus","157258","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Androstrobus","munku",NA,125,113,"119","119","119","Beaniaceae","157240",NA,NA,NA
"1:2523","1459666","occ","150879","Androstrobus patagonicus","3","393400","Androstrobus patagonicus","3","393400","Aptian",NA,"125","113","69825;69825","Androstrobus","157258","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Androstrobus","patagonicus",NA,125,113,"119","119","119","Beaniaceae","157240",NA,NA,NA
"1:2524","1459667","occ","150879","Androstrobus rayen","3","393398","Androstrobus rayen","3","393398","Aptian",NA,"125","113","69825;69825","Androstrobus","157258","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Androstrobus","rayen",NA,125,113,"119","119","119","Beaniaceae","157240",NA,NA,NA
"1:2525","1463406","occ","204229","Chamberlania pteridospermoidea","3","394246","Chamberlania pteridospermoidea","3","394246","Late Campanian","Early Maastrichtian","83.5","66","69997;69997","Chamberlania","394245","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Chamberlania","pteridospermoidea",NA,83.5,66,"39","113","112","Zamiaceae","54802",NA,NA,NA
"1:2526","1468336","occ","205105","Nilssonia sp.",NA,"157259","Nilsonia","5","169172","Illyrian","Fassanian","247.2","235","70360;70360","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","sp.",NA,247.2,235,"16","45","137",NA,NA,NA,NA,NA
"1:2527","1468343","occ","205129","Nilssonia sp.",NA,"157259","Nilsonia","5","169172","Ladinian",NA,"242","237","70360;70360","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","sp.",NA,242,237,"138","138","138",NA,NA,NA,NA,NA
"1:2528","1477301","occ","206087","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Changhsingian",NA,"254.17","252.17","70702;70702","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,254.17,252.17,"715","715","715",NA,NA,NA,NA,NA
"1:2529","1493022","occ","207608","Pseudoctenis grossa n. sp.","3","404362","Pseudoctenis grossa","3","404362","Anisian",NA,"247.2","242","71578;71578","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","grossa","n. sp.",247.2,242,"139","139","139","Nilssoniaceae","168703",NA,NA,NA
"1:2530","1493023","occ","207608","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Anisian",NA,"247.2","242","71578;71578","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,247.2,242,"139","139","139",NA,NA,NA,NA,NA
"1:2531","1493313","occ","207683","Taeniopteris vittata","3","404557","Taeniopteris vittata","3","404557","Carnian",NA,"237","228","71626;71626","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","vittata",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:2532","1493314","occ","207683","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Carnian",NA,"237","228","71626;71626","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,228,"137","137","137",NA,NA,NA,NA,NA
"1:2533","1493684","occ","207737","Anthrophyopsis decurrens n. sp.","3","404654","Anthrophyopsis decurrens","3","404654","Late Triassic",NA,"237","201.3","71635;71635","Anthrophyopsis","404653","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Anthrophyopsis","decurrens","n. sp.",237,201.3,"44","44","44",NA,NA,NA,NA,NA
